"paper_id","pattern_regex","example_file_1","example_file_2","example_file_3","llm_classification","detected_date"
"956797614547916","^Exp[0-9]+_[0-9]+\.dat$","Exp2_1.dat","Exp2_10.dat","Exp2_11.dat","individual","2026-04-19 18:55:48"
"956797618788882","(no clear pattern)","Study1_Corruptible.csv","Study1_Dishonest.csv","Study1_Generous.csv","combined","2026-04-20 13:30:32"
"956797618814131","^S[0-9]+\.txt$","S102.txt","S103.txt","S104.txt","individual","2026-04-20 13:45:56"
"956797618822969","^micb[0-9]+_[0-9]+\.txt$","micb11_22.txt","micb11_23.txt","micb11_25.txt","individual","2026-04-20 13:48:10"
"956797619829688","(no clear pattern)","Condition_Assignment_Blank.csv","Condition_Assignment_Data.csv","Debrief_AM_Sheet1.csv","combined","2026-04-20 13:51:06"
"956797618813538","^Study_LTM_[0-9]+\.mat$","Study_LTM_10.mat","Study_LTM_11.mat","Study_LTM_12.mat","individual","2026-04-20 13:54:02"
"956797618813538","^Results_LTM_[0-9]+\.mat$","Results_LTM_10.mat","Results_LTM_11.mat","Results_LTM_12.mat","individual","2026-04-20 13:54:02"
"956797618813538","^Results_WM_[0-9]+\.mat$","Results_WM_10.mat","Results_WM_11.mat","Results_WM_12.mat","individual","2026-04-20 13:54:02"
"956797618813538","^Subject_Info_[0-9]+\.mat$","Subject_Info_10.mat","Subject_Info_11.mat","Subject_Info_12.mat","individual","2026-04-20 13:54:02"
"956797618813538","^Study_[0-9]+\.mat$","Study_1.mat","Study_10.mat","Study_11.mat","individual","2026-04-20 13:54:02"
"956797618813538","^Results_[0-9]+\.mat$","Results_1.mat","Results_10.mat","Results_11.mat","individual","2026-04-20 13:54:02"
"956797619830384","^[0-9]+_cdat\.mat$","10_cdat.mat","11_cdat.mat","12_cdat.mat","individual","2026-04-20 14:28:16"
"956797619830384","^[0-9]+_cdat[0-9]+\.mat$","1_cdat3.mat","10_cdat3.mat","11_cdat3.mat","individual","2026-04-20 14:28:16"
"956797619859361","^sub[0-9]+\.mat$","sub1.mat","sub10.mat","sub11.mat","individual","2026-04-20 14:52:11"
"956797619855964","^WM_VMAC_ET_replication_P[0-9]+S[0-9]+\.mat$","WM_VMAC_ET_replication_P10S1.mat","WM_VMAC_ET_replication_P11S1.mat","WM_VMAC_ET_replication_P12S1.mat","individual","2026-04-20 15:48:27"
"956797619855964","^WM_VMAC_ET_Study[0-9]+_P[0-9]+S[0-9]+\.mat$","WM_VMAC_ET_Study2_P1009S1.mat","WM_VMAC_ET_Study2_P1012S1.mat","WM_VMAC_ET_Study2_P1013S1.mat","individual","2026-04-20 15:48:27"
"956797615595607","^FlowerInsectCong-RA[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+\.txt$","FlowerInsectCong-RA0516-2014-01-29-12-08.txt","FlowerInsectCong-RA0626-2013-09-06-17-27.txt","FlowerInsectCong-RA0749-2013-10-21-16-59.txt","individual","2026-04-21 10:27:29"
"956797615595607","^FlowerInsectCong[0-9]+-RA[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+\.txt$","FlowerInsectCong-RA0516-2014-01-29-12-08.txt","FlowerInsectCong-RA0626-2013-09-06-17-27.txt","FlowerInsectCong-RA0749-2013-10-21-16-59.txt","individual","2026-04-21 10:27:29"
"956797615595607","^FlowerInsectINCong-RA[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+-[0-9]+\.txt$","FlowerInsectCong-RA0516-2014-01-29-12-08.txt","FlowerInsectCong-RA0626-2013-09-06-17-27.txt","FlowerInsectCong-RA0749-2013-10-21-16-59.txt","individual","2026-04-21 10:27:29"
